time,vehicle_id,longitude,latitude,angle,vehicle_type,speed_mps,position_on_lane,lane,slope
45.0,bike_001,77.627488,12.917196,106.23,motorcycle,16.00,476.78,1073384217#1_1,0.00
45.0,bike_002,77.624670,12.917674,85.09,motorcycle,11.22,162.73,1073384217#1_0,0.00
45.0,bike_003,77.623209,12.917463,75.88,motorcycle,8.42,2.10,1073384217#1_1,0.00
45.0,car_001,77.629739,12.916761,93.53,car,15.75,48.48,1534247766#0_0,0.00
45.0,car_002,77.628037,12.917003,106.23,car,14.80,539.19,1073384217#1_0,0.00
45.0,car_003,77.627304,12.917220,106.23,car,16.04,455.84,1073384217#1_0,0.00
45.0,car_004,77.626202,12.917534,105.03,car,15.55,331.09,1073384217#1_0,0.00
45.0,car_005,77.625124,12.917710,89.89,car,16.19,212.54,1073384217#1_1,0.00
45.0,car_006,77.623641,12.917593,77.85,car,13.81,51.01,1073384217#1_2,0.00
46.0,bike_001,77.627630,12.917154,106.23,motorcycle,16.10,492.88,1073384217#1_1,0.00
46.0,bike_002,77.624767,12.917680,88.98,motorcycle,10.57,173.30,1073384217#1_0,0.00
46.0,bike_003,77.623315,12.917488,75.88,motorcycle,11.82,13.92,1073384217#1_1,0.00
46.0,car_001,77.629887,12.916750,93.53,car,16.13,64.60,1534247766#0_0,0.00
46.0,car_002,77.628161,12.916966,106.23,car,14.07,553.25,1073384217#1_0,0.00
46.0,car_003,77.627448,12.917178,106.23,car,16.34,472.18,1073384217#1_0,0.00
46.0,car_004,77.626348,12.917494,105.03,car,16.42,347.51,1073384217#1_0,0.00
46.0,car_005,77.625277,12.917679,89.89,car,16.19,228.73,1073384217#1_0,0.00
46.0,car_006,77.623767,12.917584,80.16,car,13.22,64.23,1073384217#1_1,0.00
47.0,bike_001,77.627774,12.917111,106.23,motorcycle,16.29,509.16,1073384217#1_1,0.00
47.0,bike_002,77.624859,12.917680,88.98,motorcycle,9.96,183.26,1073384217#1_0,0.00
47.0,bike_003,77.623432,12.917515,75.88,motorcycle,13.08,26.99,1073384217#1_1,0.00
47.0,car_001,77.630033,12.916741,93.26,car,15.86,80.46,1534247766#0_0,0.00
47.0,car_002,77.628287,12.916929,106.23,car,14.26,567.51,1073384217#1_0,0.00
47.0,car_003,77.627594,12.917134,106.23,car,16.64,488.81,1073384217#1_0,0.00
47.0,car_004,77.626489,12.917455,105.03,car,16.01,363.53,1073384217#1_0,0.00
47.0,car_005,77.625421,12.917678,89.89,car,15.63,244.35,1073384217#1_0,0.00
47.0,car_006,77.623890,12.917603,80.16,car,13.46,77.69,1073384217#1_1,0.00
48.0,bike_001,77.627909,12.917071,106.23,motorcycle,15.34,524.50,1073384217#1_1,0.00
