timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,network_vehicle_count,neighbor_count,neighbor_distance,relative_speed,in_rsu_range,application_type,application_priority,channel_id,channel_name,channel_utilization,interference_dbm,sinr_db,throughput_mbps,latency_ms,packet_delivery_ratio
17.0,2,car,4423.23,13346.31,7.44,0.14,464465173#1_1,464465173#1,6,0,5422.74,1.57,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.167,-150.0,-60.0,0.014,277.71,0.0
17.0,3,car,3284.57,7070.45,11.14,-0.41,-60194990_0,-60194990,6,0,564.73,2.46,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.167,-150.0,-19.76,0.303,13.62,0.0005
17.0,4,motorcycle,1866.01,8564.39,5.87,1.37,:3870459131_0_0,:3870459131_0,6,1,244.0,9.77,0,safety,1,2,CH2_5.88GHz_EMERG,0.5,-140.58,-7.08,2.578,4.68,0.0399
17.0,5,car,4271.82,6816.37,9.17,-0.32,-1103093311_0,-1103093311,6,0,552.23,4.43,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.5,-108.22,-26.08,0.035,116.45,0.0
18.0,0,car,1637.97,8647.3,13.39,-2.25,:10091779113_1_0,:10091779113_1,6,1,238.1,7.7,0,safety,1,1,CH1_5.86GHz_V2V,0.5,-135.23,-9.03,1.699,5.16,0.0206
18.0,1,car,3831.97,7162.88,9.74,-3.86,27935333#4_0,27935333#4,6,0,543.19,2.31,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.5,-113.27,-25.85,0.037,324.35,0.0
18.0,2,car,4422.84,13353.76,7.47,0.03,464465173#1_1,464465173#1,6,0,5426.44,1.78,0,safety,1,2,CH2_5.88GHz_EMERG,0.167,-150.0,-60.0,0.001,1664.07,0.0
18.0,3,car,3296.6,7071.07,12.05,0.91,-60194990_0,-60194990,6,0,543.19,2.31,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.5,-112.28,-27.57,0.025,162.22,0.0
18.0,4,motorcycle,1862.87,8569.12,5.69,-0.18,-383732625#0_0,-383732625#0,6,1,238.1,7.7,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.167,-150.0,-48.65,0.058,69.74,0.0
18.0,5,car,4276.49,6816.14,4.67,-4.5,-1103093311_0,-1103093311,6,0,563.76,5.07,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.167,-150.0,-18.79,0.379,10.98,0.0007
19.0,0,car,1635.57,8638.74,8.89,-4.5,-290639790#6_0,-290639790#6,7,1,232.29,1.7,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-150.0,-38.13,0.022,1804.7,0.0
19.0,1,car,3826.73,7162.95,5.24,-4.5,27935333#4_0,27935333#4,7,0,525.93,6.99,0,infotainment,5,3,CH3_5.90GHz_V2I,0.143,-150.0,-22.09,0.178,225.22,0.0002
19.0,2,car,4422.43,13361.7,7.95,0.48,464465173#1_1,464465173#1,7,0,5429.74,0.76,0,safety,1,6,CH6_140GHz_6G_THz,0.143,-150.0,-60.0,0.058,41.92,0.0
19.0,3,car,3308.83,7071.37,12.23,0.19,-60194990_0,-60194990,7,0,525.93,6.99,0,safety,1,1,CH1_5.86GHz_V2V,0.143,-150.0,-29.04,0.018,133.6,0.0
19.0,4,motorcycle,1858.99,8575.17,7.19,1.5,-383732625#0_0,-383732625#0,7,1,232.29,1.7,0,safety,1,4,CH4_5.92GHz_AUTON,0.143,-150.0,-12.87,1.451,1.96,0.0055
19.0,5,car,4283.45,6817.47,7.23,2.56,:10094580887_7_0,:10094580887_7,7,0,572.67,1.99,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-150.0,-37.53,0.025,1570.13,0.0
19.0,6,bus,5648.65,8032.65,10.67,0.0,156678397#2_0,156678397#2,7,0,1827.69,3.44,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.143,-150.0,-44.02,0.001,2773.04,0.0
20.0,0,car,1634.67,8634.12,4.72,-4.18,:cluster_1607671447_1607671449_2_0,:cluster_1607671447_1607671449_2,7,1,225.08,4.69,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.286,-142.49,-30.25,0.136,30.64,0.0
20.0,1,car,3821.2,7165.03,6.21,0.97,:306614126_4_0,:306614126_4,7,0,511.35,3.38,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.286,-149.72,-44.0,0.014,278.5,0.0
20.0,2,car,4422.07,13368.68,6.99,-0.95,464465173#1_1,464465173#1,7,0,5431.16,2.42,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.143,-150.0,-60.0,0.003,1386.69,0.0
20.0,3,car,3317.99,7074.18,9.59,-2.65,:2450399422_7_0,:2450399422_7,7,0,511.35,3.38,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.429,-129.12,-25.78,0.076,55.32,0.0001
20.0,4,motorcycle,1853.89,8583.08,9.41,2.22,:3870459130_5_0,:3870459130_5,7,1,225.08,4.69,0,safety,1,1,CH1_5.86GHz_V2V,0.143,-150.0,-18.14,0.22,11.22,0.0008
20.0,5,car,4286.99,6824.65,8.38,1.15,-133944946#1_0,-133944946#1,7,0,576.9,2.17,0,safety,1,4,CH4_5.92GHz_AUTON,0.429,-131.84,-32.5,0.016,150.79,0.0
20.0,6,bus,5649.1,8021.97,10.69,0.02,156678397#2_0,156678397#2,7,0,1813.54,2.31,0,infotainment,5,4,CH4_5.92GHz_AUTON,0.429,-125.97,-43.17,0.003,13866.4,0.0
21.0,0,car,1637.31,8627.83,7.19,2.48,:cluster_1607671447_1607671449_16_0,:cluster_1607671447_1607671449_16,7,1,213.22,4.34,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.286,-143.19,-9.64,1.488,3.91,0.0167
21.0,1,car,3820.27,7171.61,6.78,0.56,-1196120496#1_0,-1196120496#1,7,0,504.74,0.16,0,infotainment,5,2,CH2_5.88GHz_EMERG,0.143,-150.0,-25.42,0.041,966.53,0.0
21.0,2,car,4421.7,13375.67,6.99,0.0,464465173#1_1,464465173#1,7,0,5431.59,4.54,0,safety,1,3,CH3_5.90GHz_V2I,0.286,-150.0,-60.0,0.003,833.06,0.0
21.0,3,car,3324.63,7076.19,6.94,-2.65,237089974#0_0,237089974#0,7,0,504.74,0.16,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-141.92,-39.64,0.016,2553.02,0.0
21.0,4,motorcycle,1847.62,8592.75,11.53,2.12,-1322924310#1_0,-1322924310#1,7,1,213.22,4.34,0,safety,1,3,CH3_5.90GHz_V2I,0.286,-149.57,-5.12,7.741,1.54,0.0765
21.0,5,car,4287.62,6834.77,10.13,1.76,-133944946#1_0,-133944946#1,7,0,576.09,3.35,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.286,-150.0,-33.75,0.006,1972.53,0.0
21.0,6,bus,5649.41,8014.79,7.19,-3.5,156678397#2_0,156678397#2,7,0,1801.92,2.94,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-149.14,-57.52,0.014,2773.96,0.0
22.0,0,car,1644.21,8625.15,7.46,0.27,147561889#0_0,147561889#0,8,1,197.87,4.94,0,safety,1,5,CH5_28GHz_mmWave,0.125,-150.0,-22.97,0.726,3.54,0.0002
22.0,1,car,3820.41,7179.7,8.09,1.31,-1196120496#1_0,-1196120496#1,8,0,500.34,1.95,0,safety,1,3,CH3_5.90GHz_V2I,0.25,-145.98,-19.53,0.32,8.44,0.0005
22.0,2,car,4421.3,13383.32,7.66,0.67,464465173#1_1,464465173#1,8,0,5432.2,4.74,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.25,-150.0,-60.0,0.003,1387.32,0.0
22.0,3,car,3330.54,7077.86,6.14,-0.8,237089974#0_0,237089974#0,8,0,500.34,1.95,0,infotainment,5,4,CH4_5.92GHz_AUTON,0.25,-147.02,-14.33,1.045,39.22,0.0033
22.0,4,motorcycle,1840.85,8603.14,12.4,0.87,-1322924310#1_0,-1322924310#1,8,1,197.87,4.94,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.125,-150.0,-39.86,0.06,67.37,0.0
22.0,5,car,4288.37,6846.69,11.94,1.81,:10094580889_3_0,:10094580889_3,8,0,574.35,3.85,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.125,-150.0,-28.62,0.02,202.21,0.0
22.0,6,bus,5649.57,8011.11,3.69,-3.5,156678397#2_0,156678397#2,8,0,1791.3,8.25,0,safety,1,4,CH4_5.92GHz_AUTON,0.25,-131.08,-43.33,0.003,832.76,0.0
22.0,7,car,2183.22,6508.09,13.89,0.0,-262859971_0,-262859971,8,0,1281.01,7.75,0,safety,1,1,CH1_5.86GHz_V2V,0.125,-150.0,-34.21,0.005,438.63,0.0
23.0,0,car,1652.85,8622.78,8.96,1.5,147561889#0_0,147561889#0,8,1,181.58,3.25,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.125,-150.0,-13.61,0.615,6.74,0.0042
