timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,heading,distance,waiting_time,network_vehicle_count,network_avg_speed,network_avg_waiting_time,edge_vehicle_count,edge_queue_length
22.0,5,car,4288.37,6846.69,11.94,1.81,:10094580889_3_0,:10094580889_3,3.58,51.53,0.0,8,8.91,0.0,1,0
22.0,6,bus,5649.57,8011.11,3.69,-3.5,156678397#2_0,156678397#2,177.57,21.56,0.0,8,8.91,0.0,1,0
22.0,7,car,2183.22,6508.09,13.89,0.0,-262859971_0,-262859971,195.06,0.0,0.0,8,8.91,0.0,1,0
23.0,0,car,1652.85,8622.78,8.96,1.5,147561889#0_0,147561889#0,105.33,304.83,0.0,8,9.49,0.0,1,0
23.0,1,car,3820.6,7189.99,10.29,2.2,-1196120496#1_0,-1196120496#1,1.01,233.3,0.0,8,9.49,0.0,1,0
23.0,2,car,4420.9,13391.11,7.8,0.14,464465173#1_1,464465173#1,357.02,119.4,0.0,8,9.49,0.0,1,0
23.0,3,car,3336.6,7079.57,6.29,0.16,237089974#0_0,237089974#0,74.19,134.1,0.0,8,9.49,0.0,1,0
23.0,4,motorcycle,1834.19,8613.37,12.21,-0.19,:3870459134_0_0,:3870459134_0,326.89,85.68,0.0,8,9.49,0.0,1,0
23.0,5,car,4289.24,6860.55,13.89,1.95,-133944946#0_0,-133944946#0,3.56,65.42,0.0,8,9.49,0.0,1,0
23.0,6,bus,5652.0,8009.88,3.32,-0.36,:306622887_11_0,:306622887_11,164.19,24.89,0.0,8,9.49,0.0,1,0
23.0,7,car,2179.81,6495.42,13.12,-0.77,-262859971_0,-262859971,195.06,13.12,0.0,8,9.49,0.0,1,0
24.0,0,car,1663.16,8619.96,10.68,1.72,:1607769911_6_0,:1607769911_6,105.3,315.51,0.0,8,9.09,0.0,1,0
24.0,1,car,3820.79,7201.18,11.2,0.9,-1196120496#1_0,-1196120496#1,1.01,244.5,0.0,8,9.09,0.0,1,0
24.0,2,car,4420.5,13398.64,7.54,-0.26,464465173#1_1,464465173#1,357.02,126.94,0.0,8,9.09,0.0,1,0
24.0,3,car,3342.5,7081.25,6.13,-0.16,237089974#0_0,237089974#0,74.19,140.24,0.0,8,9.09,0.0,1,0
24.0,4,motorcycle,1828.66,8621.86,10.13,-2.08,-1322924310#0_0,-1322924310#0,326.94,95.8,0.0,8,9.09,0.0,1,0
24.0,5,car,4289.83,6870.07,9.54,-4.36,-133944946#0_0,-133944946#0,3.56,74.96,0.0,8,9.09,0.0,1,0
24.0,6,bus,5652.68,8013.06,3.4,0.08,-156678397#2_0,-156678397#2,134.8,28.29,0.0,8,9.09,0.0,1,0
24.0,7,car,2176.14,6481.8,14.1,0.99,-262859971_0,-262859971,195.06,27.22,0.0,8,9.09,0.0,1,0
25.0,0,car,1675.42,8616.61,12.71,2.03,147561889#1_0,147561889#1,105.3,328.22,0.0,9,9.06,0.0,1,0
25.0,1,car,3820.97,7211.2,10.02,-1.17,-1196120496#1_0,-1196120496#1,1.01,254.52,0.0,9,9.06,0.0,1,0
25.0,2,car,4420.11,13406.24,7.61,0.07,464465173#1_1,464465173#1,357.02,134.54,0.0,9,9.06,0.0,1,0
25.0,3,car,3348.24,7083.55,6.22,0.09,:2450399435_10_0,:2450399435_10,65.84,146.46,0.0,9,9.06,0.0,1,0
25.0,4,motorcycle,1824.58,8628.13,7.48,-2.65,-1322924310#0_0,-1322924310#0,326.94,103.28,0.0,9,9.06,0.0,1,0
25.0,5,car,4290.15,6875.19,5.14,-4.4,-133944946#0_0,-133944946#0,3.56,80.1,0.0,9,9.06,0.0,1,0
25.0,6,bus,5652.5,8017.37,4.31,0.91,-156678397#2_0,-156678397#2,29.33,32.59,0.0,9,9.06,0.0,1,0
25.0,7,car,2172.47,6468.13,14.16,0.05,-262859971_0,-262859971,195.06,41.38,0.0,9,9.06,0.0,1,0
25.0,8,car,3624.84,8270.03,13.89,0.0,31281091#8_0,31281091#8,202.78,0.0,0.0,9,9.06,0.0,1,0
26.0,0,car,1687.6,8613.27,12.63,-0.08,:1607769900_6_0,:1607769900_6,105.31,340.84,0.0,9,8.71,0.0,1,0
26.0,1,car,3821.1,7217.67,6.47,-3.56,-1196120496#1_0,-1196120496#1,1.21,260.99,0.0,9,8.71,0.0,1,0
26.0,2,car,4419.75,13413.06,6.83,-0.78,464465173#1_1,464465173#1,357.02,141.37,0.0,9,8.71,0.0,1,0
26.0,3,car,3351.07,7088.56,5.93,-0.29,:2450399435_10_0,:2450399435_10,24.99,152.39,0.0,9,8.71,0.0,1,0
26.0,4,motorcycle,1821.67,8633.16,5.83,-1.65,:cluster_10091779114_3870459129_8_0,:cluster_10091779114_3870459129_8,334.89,109.11,0.0,9,8.71,0.0,1,0
26.0,5,car,4290.07,6881.67,6.49,1.36,:1488556150_4_0,:1488556150_4,357.4,86.59,0.0,9,8.71,0.0,1,0
26.0,6,bus,5652.27,8022.76,5.4,1.09,-156678397#2_0,-156678397#2,358.53,37.99,0.0,9,8.71,0.0,1,0
26.0,7,car,2169.01,6455.27,13.32,-0.83,-262859971_0,-262859971,195.06,54.7,0.0,9,8.71,0.0,1,0
26.0,8,car,3618.85,8255.76,15.47,1.58,31281091#8_0,31281091#8,202.78,15.47,0.0,9,8.71,0.0,1,0
27.0,0,car,1699.28,8610.08,12.12,-0.51,147561889#2_0,147561889#2,105.31,352.96,0.0,9,8.6,0.0,1,0
27.0,1,car,3822.18,7223.91,6.45,-0.01,:266272841_8_0,:266272841_8,13.66,267.44,0.0,9,8.6,0.0,1,0
27.0,2,car,4419.37,13420.35,7.3,0.47,464465173#1_1,464465173#1,357.02,148.68,0.0,9,8.6,0.0,1,0
27.0,3,car,3350.19,7094.26,5.81,-0.12,237089972#2_0,237089972#2,349.37,158.2,0.0,9,8.6,0.0,1,0
27.0,4,motorcycle,1822.88,8637.66,4.96,-0.87,:cluster_10091779114_3870459129_8_0,:cluster_10091779114_3870459129_8,32.93,114.07,0.0,9,8.6,0.0,1,0
27.0,5,car,4285.36,6886.87,7.44,0.95,:1488556150_4_0,:1488556150_4,305.55,94.04,0.0,9,8.6,0.0,1,0
27.0,6,bus,5652.01,8029.03,6.28,0.88,-156678397#2_0,-156678397#2,357.59,44.27,0.0,9,8.6,0.0,1,0
27.0,7,car,2165.54,6442.37,13.36,0.03,-262859971_0,-262859971,195.06,68.06,0.0,9,8.6,0.0,1,0
27.0,8,car,3613.57,8243.19,13.62,-1.85,31281091#8_0,31281091#8,202.78,29.1,0.0,9,8.6,0.0,1,0
28.0,0,car,1711.11,8606.83,12.27,0.15,147561889#2_0,147561889#2,105.33,365.23,0.0,10,7.78,0.0,1,0
28.0,1,car,3827.6,7225.96,6.12,-0.33,-794634830#4_0,-794634830#4,77.55,273.57,0.0,10,7.78,0.0,1,0
28.0,2,car,4419.0,13427.53,7.18,-0.12,464465173#1_1,464465173#1,357.02,155.86,0.0,10,7.78,0.0,1,0
28.0,3,car,3348.53,7100.11,6.08,0.27,237089972#2_0,237089972#2,344.2,164.28,0.0,10,7.78,0.0,1,0
28.0,4,motorcycle,1827.22,8640.72,5.32,0.36,147561889#7_0,147561889#7,57.66,119.39,0.0,10,7.78,0.0,1,0
28.0,5,car,4278.09,6887.4,7.3,-0.15,640876756#5_0,640876756#5,271.6,101.34,0.0,10,7.78,0.0,1,0
28.0,6,bus,5651.7,8036.31,7.28,1.0,-156678397#2_0,-156678397#2,357.59,51.56,0.0,10,7.78,0.0,1,0
28.0,7,car,2161.9,6428.85,14.01,0.65,-262859971_0,-262859971,195.06,82.06,0.0,10,7.78,0.0,1,0
28.0,8,car,3609.77,8234.13,9.83,-3.79,31281091#8_0,31281091#8,202.78,38.92,0.0,10,7.78,0.0,1,0
28.0,9,car,3864.53,12188.73,2.45,0.0,31231520#3_0,31231520#3,340.54,0.0,0.0,10,7.78,0.0,1,0
29.0,0,car,1722.6,8603.68,11.91,-0.36,147561889#2_0,147561889#2,105.33,377.14,0.0,10,8.13,0.0,1,0
29.0,1,car,3836.21,7225.82,8.61,2.49,-794634830#4_0,-794634830#4,90.95,282.18,0.0,10,8.13,0.0,1,0
